DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:7,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.89296495228,0.933364713028,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:7,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.89296495228,0.933364713028,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:7,n_estimators:300,min_samples_split:6,random_state:1,max_features:sqrt,max_depth:40,500,0.89296495228,0.933364713028,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:9,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:40,500,0.880676534455,0.925262678409,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:9,n_estimators:300,min_samples_split:3,random_state:1,max_features:sqrt,max_depth:40,500,0.880676534455,0.925262678409,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:9,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.880676534455,0.925262678409,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:9,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.880676534455,0.925262678409,
DiseaseState-16,use PCA data,n_jobs:-1,min_samples_leaf:9,n_estimators:300,min_samples_split:6,random_state:1,max_features:sqrt,max_depth:40,500,0.880676534455,0.925262678409,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:2,random_state:1,max_features:sqrt,max_depth:40,500,0.965347393497,0.970411679823,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:3,random_state:1,max_features:sqrt,max_depth:40,500,0.966576864209,0.971083948731,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:4,random_state:1,max_features:sqrt,max_depth:40,500,0.965497845213,0.971420649068,
BioSourceType-7,use PCA data,n_jobs:-1,min_samples_leaf:1,n_estimators:300,min_samples_split:5,random_state:1,max_features:sqrt,max_depth:40,500,0.967787120981,0.971756783521,
